name,institution,lat,lon
"Awopetu, Babatunde Akin","Osun State College of Technology, Esa-Oke, Osun State, Nigeria",7.752845,4.894942
"Bangera, Gita","Bellevue College",47.6011555,-122.1636756
"Berkes, Charlotte A.","Merrimack College",42.6677049,-71.1225705
"Bieszczad, C.K.","Colby-Sawyer College",43.412062,-71.978033
"Brown, Jim (PhD)","North Carolina State University",35.7846633,-78.6820946
"Cambray, Garth","Makana Meadery, Grahamstown, South Africa ",-33.3,26.526667
"Connors, Bernadette (PhD)","Dominican College, Orangburg, NY",41.0476201,-73.95031
"Cordts, Marcia (PhD)","University of Iowa",41.6626963,-91.5548998
"Counsil, Tyler (EdD)","Oakland City University, Oakland City, IN",38.3401193,-87.3519119
"Dannelly, Kathleen (PhD)","Indiana State University",39.4712412,-87.4080662
"dela Cruz, Thomas Edison E. (PhD)","University of Santo Tomas, Philippines",14.609913,120.989352
"Einarsson, Hjorleifur (PhD)","University of Akureyri, Iceland",65.6854634,-18.1223203
"Ferguson, D.J. (PhD)","Miami University",39.5105334,-84.7308768
"Ferrell, David","Columbus (GA) Technical College",32.5022029,-84.9390578
"Fung, Daniel Y.C. (PhD)","Kansas State University, Manhattan, KS",39.1974437,-96.5847249
"Gampala, Srinivas (PhD)","Dow AgroSciences, Indianapolis, IN",39.768403,-86.158068
"Gasper, Brittany (PhD)","Florida Southern College",28.0317597,-81.9459801
"Gracias, Kiev (EdD)","Oakland City University, Oakland City, IN",38.3401193,-87.3519119
"Gregory, Rich (PhD)","Indiana University",39.1691355,-86.5149053
"He, Gui-Xin (Sue)","University of Massachusetts Lowell",42.6426529,-71.3340665
"Jones, N.N.","Philander Smith College",34.7371174,-92.2828389
"Kallmeyer, Diane (PhD)","Indiana Academy of Math and Science, Muncie, IN",40.196246,-85.4109609
"Kaminskyj, Susan","University of Saskatchewan",52.138997,-106.6236777
"Konjufca, Vjollca (PhD)","Southern Illinois University",37.7138335,-89.2116506
"Kucknoor, Ashwini (PhD)","Lamar University",30.0403912,-94.0760869
"Kyriakides, Themis (PhD)","Yale",41.3163244,-72.9223431
"Lang, Andrew (PhD)","Memorial University, St. John's, NL A1B 3X9 Canada",47.5737975,-52.7329053
"Leenanon, Borwonsak (PhD)","Khonkaen University, Khonaen, 40002, Thailand",16.474094,102.821956
"Llanes, Rio","University of the Philippines Manila",14.6015417,120.9888214
"Marshall, Pamela A.","Arizona State University",33.4106925,-111.9257049
"Martin, Vicki J.","North Carolina State University",35.7846633,-78.6820946
"Minnick, Michael (PhD)","University of Montana",46.8600672,-113.9852081
"Moorman, Veronica","Kettering University",43.0111027,-83.7133983
"Mukry, Samina (PhD)","Nat'l Inst. of Blood Diseases, Karachi, Pakistan ",24.8614622,67.0099388
"Orlygsson, Johann (PhD)","University of Akureyri, Iceland",65.6854634,-18.1223203
"Picardo, Kristin","St. John Fisher College",43.1154428,-77.5115222
"Pratt, Zachary","St. Norbert College",44.444174,-88.067296
"Rifatbegovic, Maid (PhD)","University of Sarajevo",43.821747,18.309177
"Robinson, Amanda","Simon Cancer Center",,
"Sanfrancisco, Michael (PhD)","Texas Tech University",33.5842591,-101.8782822
"Scully, Sean","University of Akureyri, Iceland",65.6854015,-18.1230774
"Scully, Sean (MS)","University of Akureyri, Iceland",65.6854634,-18.1223203
"Shen, Cangliang (PhD)","Western Virginia University",39.6361396,-79.9559358
"Smith, Amanda R. (MS)","Cincinnati Children's Hospital & Medical Center",39.1031182,-84.5120196
"Soule, Tanya (PhD)","Indiana University, Fort Wayne, IN",41.079273,-85.1393513
"Stemke, Douglas (PhD)","University of Indianapolis",39.7098279,-86.1338854
"Stockwell, S.B. (PhD)","James Madison University",38.435092,-78.8697548
"Strome, Erin (PhD)","Northern Kentucky University",39.0314948,-84.4640842
"Suchman, Erica L.","Colorado State University",40.573436,-105.0865473
"Swerdlow, Sarah (PhD)","Thiel College",41.4119273,-80.383989
"Tafuri, Silvio","University of Bari, Italy",41.1205546,16.8684745
"Taylor, Hope M. (DDS)","Madisonville",37.3281005,-87.4988882
"Upton, Christopher (PhD)","University of Victoria",48.4634067,-123.3116935
"Vilhelmsson, Oddur (PhD)","University of Akureyri, Iceland",65.6854634,-18.1223203
"Wang, Jiaqi (PhD)","Chinese Academy of Agricultural Sciences, Beijing, China",39.9573432,116.3276421
"Webb, Ginny (PhD)","University of South Carolina Upstate",34.9956099,-81.9699972
"Wernick, Naomi","University of Massachusetts Lowell",42.6426529,-71.3340665
"Wiedemeier, Allison (PhD)","University of Louisiana Monroe",32.5287009,-92.0724303
"Williams, Ann H.","University of Tampa",27.9453715,-82.4659336
"Yu, Lita","Ursuline College",41.4938332,-81.4650273
